import time: self [us] | cumulative | imported package
import time:        43 |         43 |                             msvcrt
import time:      1172 |       2423 |                           subprocess
import time:       605 |       3027 |                         anyio._core._subprocesses
import time:      1308 |       1308 |                         anyio._core._tempfile
import time:       772 |      61191 |                       anyio
import time:        21 |      61211 |                     anyio.to_thread
import time:       377 |      61588 |                   starlette.concurrency
import time:       452 |        452 |                   starlette.types
import time:       939 |      63530 |                 starlette.datastructures
import time:       955 |      65107 |               fastapi._compat.shared
import time:       312 |        312 |                 fastapi.openapi.constants
import time:      1617 |       1928 |               fastapi._compat.v2
import time:       459 |      67493 |             fastapi._compat
import time:       321 |        321 |             fastapi.logger
import time:       506 |        506 |               email_validator.exceptions
import time:       605 |        605 |               email_validator.types
import time:       634 |        634 |                 unicodedata
import time:     12212 |      12212 |                   email_validator.rfc_constants
import time:       834 |        834 |                       idna.idnadata
import time:       352 |        352 |                       idna.intranges
import time:       903 |       2088 |                     idna.core
import time:       282 |        282 |                     idna.package_data
import time:       811 |       3180 |                   idna
import time:       624 |      16015 |                 email_validator.syntax
import time:       430 |      17078 |               email_validator.validate_email
import time:       456 |        456 |               email_validator.version
import time:       541 |      19184 |             email_validator
import time:       298 |        298 |               importlib.metadata._text
import time:       442 |        740 |             importlib.metadata._adapters
import time:       877 |        877 |               email.feedparser
import time:       484 |       1360 |             email.parser
import time:     61379 |     151001 |           fastapi.openapi.models
import time:      2620 |     270452 |         fastapi.params
import time:       733 |        733 |         fastapi.datastructures
import time:       574 |        574 |           fastapi.dependencies
import time:       260 |        260 |                 fastapi.security.base
import time:      1249 |       1249 |                   http.cookies
import time:       646 |        646 |                   starlette._utils
import time:       328 |        328 |                           python_multipart.exceptions
import time:       368 |        696 |                         python_multipart.decoders
import time:       964 |       1660 |                       python_multipart.multipart
import time:       477 |       2137 |                     python_multipart
import time:      1115 |       3252 |                   starlette.formparsers
import time:       722 |       5868 |                 starlette.requests
import time:       559 |       6685 |               fastapi.security.api_key
import time:       732 |        732 |                 fastapi.security.utils
import time:      1369 |       2101 |               fastapi.security.http
import time:      1000 |       1000 |                 fastapi.param_functions
import time:      1128 |       2128 |               fastapi.security.oauth2
import time:       359 |        359 |               fastapi.security.open_id_connect_url
import time:       599 |      11870 |             fastapi.security
import time:        28 |      11897 |           fastapi.security.base
import time:      1500 |      13970 |         fastapi.dependencies.models
import time:       457 |        457 |             starlette.background
import time:       564 |       1020 |           fastapi.background
import time:       335 |        335 |           fastapi.concurrency
import time:       353 |        353 |           fastapi.utils
import time:      1189 |       1189 |               _hashlib
import time:        57 |         57 |               _blake2
import time:       477 |       1723 |             hashlib
import time:       626 |        626 |             mimetypes
import time:       442 |        442 |               hmac
import time:       605 |       1046 |             secrets
import time:       522 |       3915 |           starlette.responses
import time:       500 |        500 |           starlette.websockets
import time:      1661 |       7782 |         fastapi.dependencies.utils
import time:       358 |        358 |             colorsys
import time:       703 |       1060 |           pydantic.color
import time:       833 |       1893 |         fastapi.encoders
import time:       350 |        350 |           starlette._exception_handler
import time:       650 |        650 |           starlette.convertors
import time:       473 |        473 |           starlette.middleware
import time:      1180 |       2652 |         starlette.routing
import time:      1663 |     331163 |       fastapi.routing
import time:       530 |        530 |         fastapi.websockets
import time:       489 |       1019 |       fastapi.exception_handlers
import time:       501 |        501 |         fastapi.middleware
import time:       884 |       1385 |       fastapi.middleware.asyncexitstack
import time:       511 |        511 |       fastapi.openapi.docs
import time:       984 |        984 |         http.client
import time:       170 |        170 |           ujson
import time:       128 |        128 |           orjson
import time:       387 |        685 |         fastapi.responses
import time:       524 |       2192 |       fastapi.openapi.utils
import time:       537 |        537 |         starlette.middleware.base
import time:      1082 |       1082 |             html.entities
import time:       627 |       1709 |           html
import time:       381 |       2089 |         starlette.middleware.errors
import time:       395 |        395 |         starlette.middleware.exceptions
import time:       473 |       3493 |       starlette.applications
import time:      2250 |     353071 |     fastapi.applications
import time:       398 |        398 |     fastapi.requests
import time:       993 |     358423 |   fastapi
import time:       309 |        309 |     starlette.middleware.cors
import time:       279 |        588 |   fastapi.middleware.cors
import time:       384 |        384 |     starlette.staticfiles
import time:       258 |        642 |   fastapi.staticfiles
import time:       457 |        457 |         jwt.exceptions
import time:       380 |        380 |         jwt.types
import time:       363 |        363 |                     cryptography.__about__
import time:       395 |        758 |                   cryptography
import time:       396 |       1153 |                 cryptography.hazmat
import time:       525 |       1678 |               cryptography.hazmat.primitives
import time:       389 |       2067 |             cryptography.hazmat.primitives.asymmetric
import time:       558 |        558 |             cryptography.utils
import time:       271 |        271 |                 cryptography.hazmat.bindings
import time:       836 |        836 |                 _cffi_backend
