import time: self [us] | cumulative | imported package
import time:       766 |        766 |                           anyio._core._exceptions
import time:       561 |        561 |                             sniffio._version
import time:       723 |        723 |                             sniffio._impl
import time:       805 |       2089 |                           sniffio
import time:       691 |       3545 |                         anyio._core._eventloop
import time:      1247 |       1247 |                                 signal
import time:     24735 |      24735 |                                     select
import time:      1131 |      25866 |                                   selectors
import time:      4907 |      30772 |                                 socket
import time:      1263 |      33281 |                               anyio.abc._eventloop
import time:      1089 |       1089 |                               anyio.abc._resources
import time:       827 |        827 |                                 anyio._core._typedattr
import time:      1065 |       1065 |                                   anyio.abc._tasks
import time:      1517 |       2581 |                                 anyio.abc._streams
import time:      1400 |       4807 |                               anyio.abc._sockets
import time:       824 |        824 |                               anyio.abc._subprocesses
import time:       763 |        763 |                               anyio.abc._testing
import time:      1472 |       1472 |                                 anyio.lowlevel
import time:      1203 |       1203 |                                 anyio._core._tasks
import time:      1110 |       1110 |                                 anyio._core._testing
import time:      3620 |       7404 |                               anyio._core._synchronization
import time:     13939 |      13939 |                                   concurrent
import time:      1003 |       1003 |                                         _colorize
import time:      1579 |       2581 |                                       traceback
import time:        88 |         88 |                                       atexit
import time:      2786 |       5454 |                                     logging
import time:     12708 |      18161 |                                   concurrent.futures._base
import time:     11625 |      43725 |                                 concurrent.futures
import time:      1925 |      45650 |                               anyio.from_thread
import time:      1539 |      95353 |                             anyio.abc
import time:       930 |      96283 |                           anyio.to_thread
import time:      2285 |      98568 |                         anyio._core._fileio
import time:      1081 |       1081 |                         anyio._core._resources
import time:       550 |        550 |                         anyio._core._signals
import time:     98003 |      98003 |                             _ssl
import time:     14519 |     112522 |                           ssl
import time:      1735 |       1735 |                             anyio.streams
import time:      2377 |       4112 |                           anyio.streams.stapled
import time:      1779 |       1779 |                           anyio.streams.tls
import time:      1574 |     119986 |                         anyio._core._sockets
import time:      2408 |       2408 |                           anyio.streams.memory
import time:       760 |       3168 |                         anyio._core._streams
import time:        67 |         67 |                               _locale
import time:      1407 |       1473 |                             locale
import time:       180 |        180 |                             fcntl
import time:        44 |         44 |                             msvcrt
import time:      1583 |       3279 |                           subprocess
import time:      1056 |       4334 |                         anyio._core._subprocesses
import time:      1844 |       1844 |                         anyio._core._tempfile
import time:      1861 |     237640 |                       anyio
import time:        22 |     237662 |                     anyio.to_thread
import time:       711 |     238372 |                   starlette.concurrency
import time:      1868 |       1868 |                   starlette.types
import time:      1496 |     242659 |                 starlette.datastructures
import time:      1332 |     244749 |               fastapi._compat.shared
import time:       673 |        673 |                 fastapi.openapi.constants
import time:      3554 |       4226 |               fastapi._compat.v2
import time:      2079 |     251054 |             fastapi._compat
import time:       846 |        846 |             fastapi.logger
import time:       939 |        939 |               email_validator.exceptions
import time:      1679 |       1679 |               email_validator.types
import time:     25447 |      25447 |                 unicodedata
import time:     13485 |      13485 |                   email_validator.rfc_constants
import time:      1548 |       1548 |                       idna.idnadata
import time:       593 |        593 |                       idna.intranges
import time:      1404 |       3544 |                     idna.core
import time:       863 |        863 |                     idna.package_data
import time:      1749 |       6155 |                   idna
import time:      2154 |      21794 |                 email_validator.syntax
import time:      1158 |      48397 |               email_validator.validate_email
import time:       751 |        751 |               email_validator.version
import time:      1414 |      53179 |             email_validator
import time:       609 |        609 |               importlib.metadata._text
import time:      1018 |       1627 |             importlib.metadata._adapters
import time:      1109 |       1109 |               email.feedparser
import time:      1073 |       2182 |             email.parser
import time:     82683 |     393351 |           fastapi.openapi.models
import time:      2847 |    1123137 |         fastapi.params
import time:      1151 |       1151 |         fastapi.datastructures
import time:       809 |        809 |           fastapi.dependencies
import time:       866 |        866 |                 fastapi.security.base
import time:      1756 |       1756 |                   http.cookies
import time:       776 |        776 |                   starlette._utils
import time:       663 |        663 |                           python_multipart.exceptions
import time:       956 |       1619 |                         python_multipart.decoders
import time:      2221 |       3840 |                       python_multipart.multipart
import time:      1004 |       4844 |                     python_multipart
import time:      1314 |       6157 |                   starlette.formparsers
import time:      1067 |       9755 |                 starlette.requests
import time:      1136 |      11756 |               fastapi.security.api_key
import time:       631 |        631 |                 fastapi.security.utils
import time:      1884 |       2514 |               fastapi.security.http
import time:      1368 |       1368 |                 fastapi.param_functions
import time:      2535 |       3903 |               fastapi.security.oauth2
import time:      1382 |       1382 |               fastapi.security.open_id_connect_url
import time:       905 |      20459 |             fastapi.security
import time:        31 |      20489 |           fastapi.security.base
import time:      2747 |      24043 |         fastapi.dependencies.models
import time:       919 |        919 |             starlette.background
import time:       847 |       1766 |           fastapi.background
import time:       767 |        767 |           fastapi.concurrency
import time:      1062 |       1062 |           fastapi.utils
import time:     31011 |      31011 |               _hashlib
import time:        94 |         94 |               _blake2
import time:      2264 |      33369 |             hashlib
import time:      1483 |       1483 |             mimetypes
import time:       971 |        971 |               hmac
import time:     12284 |      13254 |             secrets
import time:      1198 |      49303 |           starlette.responses
import time:      1498 |       1498 |           starlette.websockets
import time:      2750 |      57143 |         fastapi.dependencies.utils
import time:       729 |        729 |             colorsys
import time:      1317 |       2046 |           pydantic.color
import time:       902 |       2947 |         fastapi.encoders
import time:       608 |        608 |           starlette._exception_handler
import time:      1109 |       1109 |           starlette.convertors
import time:      1543 |       1543 |           starlette.middleware
import time:      1482 |       4740 |         starlette.routing
import time:      3831 |    1281558 |       fastapi.routing
import time:       407 |        407 |         fastapi.websockets
import time:       620 |       1026 |       fastapi.exception_handlers
import time:       677 |        677 |         fastapi.middleware
import time:       634 |       1311 |       fastapi.middleware.asyncexitstack
import time:       633 |        633 |       fastapi.openapi.docs
import time:      1606 |       1606 |         http.client
import time:       195 |        195 |           ujson
import time:       130 |        130 |           orjson
import time:      1219 |       1543 |         fastapi.responses
import time:      1596 |       4745 |       fastapi.openapi.utils
import time:       898 |        898 |         starlette.middleware.base
import time:      1521 |       1521 |             html.entities
import time:      1850 |       3371 |           html
import time:       616 |       3986 |         starlette.middleware.errors
import time:       767 |        767 |         starlette.middleware.exceptions
import time:       700 |       6349 |       starlette.applications
import time:      7158 |    1326883 |     fastapi.applications
import time:       401 |        401 |     fastapi.requests
import time:      2595 |    1338904 |   fastapi
import time:       500 |        500 |     starlette.middleware.cors
import time:       341 |        841 |   fastapi.middleware.cors
import time:       823 |        823 |     starlette.staticfiles
import time:       332 |       1154 |   fastapi.staticfiles
import time:       822 |        822 |         jwt.exceptions
import time:       719 |        719 |         jwt.types
import time:       832 |        832 |                     cryptography.__about__
import time:      1029 |       1861 |                   cryptography
import time:       936 |       2797 |                 cryptography.hazmat
import time:      1144 |       3941 |               cryptography.hazmat.primitives
import time:      1257 |       5197 |             cryptography.hazmat.primitives.asymmetric
import time:      1103 |       1103 |             cryptography.utils
import time:      1126 |       1126 |                 cryptography.hazmat.bindings
import time:     22252 |      22252 |                 _cffi_backend
import time:     28492 |      51869 |               cryptography.hazmat.bindings._rust
import time:       785 |      52653 |             cryptography.exceptions
import time:      1197 |       1197 |               cryptography.hazmat.primitives.hashes
import time:      1541 |       2737 |             cryptography.hazmat._oid
import time:      1756 |       1756 |             cryptography.hazmat.primitives._serialization
import time:      1044 |       1044 |             cryptography.hazmat.primitives.asymmetric.utils
import time:      1723 |      66211 |           cryptography.hazmat.primitives.asymmetric.ec
import time:       878 |      67089 |         jwt.utils
import time:       974 |        974 |         cryptography.hazmat.backends
import time:       645 |        645 |           cryptography.hazmat.primitives._asymmetric
import time:      1046 |       1046 |           cryptography.hazmat.primitives.asymmetric.rsa
import time:      1067 |       2757 |         cryptography.hazmat.primitives.asymmetric.padding
import time:      1114 |       1114 |         cryptography.hazmat.primitives.asymmetric.ed448
import time:       812 |        812 |         cryptography.hazmat.primitives.asymmetric.ed25519
import time:       611 |        611 |           cryptography.hazmat.primitives.serialization.base
import time:       849 |        849 |             cryptography.hazmat.primitives.asymmetric.dsa
import time:       728 |        728 |               cryptography.hazmat.primitives._cipheralgorithm
import time:       615 |        615 |                         cryptography.hazmat.decrepit
import time:       740 |       1354 |                       cryptography.hazmat.decrepit.ciphers
import time:       988 |       2341 |                     cryptography.hazmat.decrepit.ciphers.algorithms
import time:       692 |       3033 |                   cryptography.hazmat.primitives.ciphers.algorithms
import time:      1160 |       4192 |                 cryptography.hazmat.primitives.ciphers.modes
import time:      1450 |       5642 |               cryptography.hazmat.primitives.ciphers.base
import time:      1826 |       8194 |             cryptography.hazmat.primitives.ciphers
import time:       222 |        222 |             bcrypt
import time:      2463 |      11727 |           cryptography.hazmat.primitives.serialization.ssh
import time:      1606 |      13943 |         cryptography.hazmat.primitives.serialization
import time:      1056 |      89282 |       jwt.algorithms
import time:      1156 |      90438 |     jwt.api_jwk
import time:       656 |        656 |       jwt.warnings
import time:       963 |       1619 |     jwt.api_jws
import time:      1292 |       1292 |       calendar
import time:       807 |       2099 |     jwt.api_jwt
import time:       594 |        594 |           urllib.response
import time:       838 |       1432 |         urllib.error
import time:       662 |        662 |         nturl2path
import time:      4807 |       6900 |       urllib.request
import time:      1036 |       1036 |       jwt.jwk_set_cache
import time:      1010 |       8946 |     jwt.jwks_client
import time:      1989 |     105088 |   jwt
import time:       781 |        781 |       numpy.version
import time:       643 |        643 |       numpy._expired_attrs_2_0
import time:       773 |        773 |           numpy._utils._convertions
import time:      1997 |       2769 |         numpy._utils
import time:       801 |       3570 |       numpy._globals
import time:        52 |         52 |         numpy._distributor_init_local
import time:       760 |        811 |       numpy._distributor_init
import time:      1094 |       1094 |                 numpy.exceptions
import time:       882 |        882 |                 numpy._core._exceptions
import time:      1964 |       1964 |                 numpy._core.printoptions
import time:      2131 |       2131 |                 numpy.dtypes
import time:    925143 |     931212 |               numpy._core._multiarray_umath
import time:      1165 |       1165 |                 numpy._utils._inspect
import time:      1850 |       3014 |               numpy._core.overrides
import time:      2418 |     936644 |             numpy._core.multiarray
import time:       765 |        765 |             numpy._core.umath
import time:       874 |        874 |               numpy._core._dtype
import time:      1473 |       1473 |               numpy._core._string_helpers
import time:       795 |        795 |               numpy._core._type_aliases
import time:       774 |       3915 |             numpy._core.numerictypes
import time:       877 |        877 |                         _compat_pickle
import time:       115 |        115 |                         _pickle
import time:      2145 |       3135 |                       pickle
import time:       774 |       3909 |                     numpy._core._methods
import time:      1181 |       5089 |                   numpy._core.fromnumeric
import time:       875 |       5964 |                 numpy._core.shape_base
import time:       686 |        686 |                 numpy._core._ufunc_config
import time:       566 |        566 |                 numpy._core._asarray
import time:       973 |        973 |                 numpy._core.arrayprint
import time:      1273 |       9460 |               numpy._core.numeric
import time:      1002 |      10461 |             numpy._core.einsumfunc
import time:       650 |        650 |             numpy._core.function_base
import time:       939 |        939 |             numpy._core.getlimits
import time:      1020 |       1020 |             numpy._core.memmap
import time:       834 |        834 |             numpy._core.records
import time:      4402 |       4402 |             numpy._core._add_newdocs
import time:      1383 |       1383 |             numpy._core._add_newdocs_scalars
import time:       714 |        714 |             numpy._core._dtype_ctypes
import time:     28101 |      28101 |                 _ctypes
import time:      1240 |       1240 |                 ctypes._endian
import time:      2066 |      31406 |               ctypes
import time:      1060 |      32465 |             numpy._core._internal
import time:      1600 |       1600 |             numpy._pytesttester
import time:      1566 |     997350 |           numpy._core
import time:        34 |     997384 |         numpy._core._multiarray_umath
import time:       703 |     998086 |       numpy.__config__
import time:       779 |        779 |                         numpy._typing._nbit_base
import time:       584 |        584 |                         numpy._typing._nested_sequence
import time:       542 |        542 |                         numpy._typing._shape
import time:      2239 |       4143 |                       numpy._typing._array_like
import time:      2458 |       2458 |                       numpy._typing._char_codes
import time:      2132 |       2132 |                       numpy._typing._dtype_like
import time:       865 |        865 |                       numpy._typing._nbit
import time:       685 |        685 |                       numpy._typing._scalars
import time:       617 |        617 |                       numpy._typing._ufunc
import time:      1224 |      12122 |                     numpy._typing
import time:      1204 |       1204 |                       numpy.lib._stride_tricks_impl
import time:      1903 |       3106 |                     numpy.lib._twodim_base_impl
import time:       783 |        783 |                       numpy.lib._array_utils_impl
